caldt,totval,spindx,sprtrn
19280713,24641296.90,,
19280714,24606423.80,,
19280716,24273989.60,,
19280717,24398245.10,,
19280718,24668268.10,,
19280719,24616395.90,,
19280720,24663100.90,,
19280721,24584475.40,,
19280723,24760000.60,,
19280724,24746130.50,,
19280725,24883742.20,,
19280726,24916757.00,,
19280727,25143236.90,,
19280728,25211932.60,,
19280730,25209623.60,,
19280731,25138229.90,,
19280801,25114729.60,,
19280802,24860158.60,,
19280803,25002778.20,,
19280804,25070233.90,,
19280806,25256828.60,,
19280807,25184055.80,,
19280808,24894084.20,,
19280809,24921500.90,,
19280810,24838701.00,,
19280811,24885386.10,,
19280813,24881952.10,,
19280814,24672033.00,,
19280815,25072515.40,,
19280816,25260229.00,,
19280817,25330770.80,,
19280818,25415324.20,,
19280820,25462565.90,,
19280821,25756362.40,,
19280822,25785162.50,,
19280823,25770357.00,,
19280824,26221727.20,,
19280825,26126418.90,,
19280827,26040645.00,,
19280828,26235489.60,,
19280829,26297433.10,,
19280830,26344202.40,,
19280831,26638717.00,,
19280901,26644243.40,,
19280904,26784663.90,,
19280905,26892609.50,,
19280906,26733150.90,,
19280907,26895804.10,,
19280908,26806550.80,,
19280910,26674039.10,,
19280911,26870818.10,,
19280912,26971208.20,,
19280913,26940782.50,,
19280914,26944494.20,,
19280915,27077928.00,,
19280917,27196324.80,,
19280918,27003632.90,,
19280919,27011960.10,,
19280920,27035938.20,,
19280921,27174012.00,,
19280922,26928532.20,,
19280924,27263082.00,,
19280925,27226662.10,,
19280926,27212522.60,,
19280927,26923064.50,,
19280928,26898008.80,,
19280929,27333943.10,,
19281001,27288720.10,,
19281002,27162319.40,,
19281003,27079157.80,,
19281004,27124455.60,,
19281005,27022374.00,,
19281006,26984041.90,,
19281008,26906892.20,,
19281009,26795543.40,,
19281010,27259577.60,,
19281011,27384453.20,,
19281013,27541556.10,,
19281015,27588169.70,,
19281016,27673994.90,,
19281017,27766526.20,,
19281018,27814005.80,,
19281019,27966615.60,,
19281020,27822362.00,,
19281022,27800383.80,,
19281023,27956721.10,,
19281024,28023045.40,,
19281025,27924615.00,,
19281026,27644295.40,,
19281027,27902986.20,,
19281029,28045981.20,,
19281030,27790841.80,,
19281031,27717369.80,,
19281101,28089462.00,,
19281102,28049787.20,,
19281103,28086985.20,,
19281105,28408102.40,,
19281107,28725052.80,,
19281108,28604836.60,,
19281109,28839371.00,,
19281110,29101477.00,,
19281112,29201815.10,,
19281113,29287111.00,,
19281114,29279624.60,,
19281115,29390991.90,,
19281116,29816853.10,,
19281117,29844262.60,,
19281119,29858696.40,,
19281120,30142963.50,,
19281121,29695690.60,,
19281122,30046152.60,,
19281123,30326384.20,,
19281126,31020369.80,,
19281127,30730526.60,,
19281128,31471885.50,,
19281130,31592727.50,,
19281201,31298839.90,,
19281203,31067603.50,,
19281204,31141001.50,,
19281205,30992715.00,,
19281206,29861641.10,,
19281207,28993422.40,,
19281208,28642193.00,,
19281210,29149094.90,,
19281211,29686484.50,,
19281212,29420973.00,,
19281213,29351279.60,,
19281214,29445397.00,,
19281215,29371384.50,,
19281217,29273369.00,,
19281218,29603044.60,,
19281219,29939883.00,,
19281220,30041344.00,,
19281221,30407147.00,,
19281222,30399965.20,,
19281224,30669327.10,,
19281226,30554203.40,,
19281227,30795764.50,,
19281228,31215336.80,,
19281229,30663125.10,,
19281231,32743322.20,,
19290102,33308334.00,,
19290103,33389304.90,,
19290104,33424612.10,,
19290105,33084153.50,,
19290107,32632353.40,,
19290108,32572692.00,,
19290109,33000449.90,,
19290110,33080322.80,,
19290111,33041397.80,,
19290112,32938743.60,,
19290114,33026539.90,,
19290115,32628948.20,,
19290116,33031325.90,,
19290117,33210562.80,,
19290118,33309558.20,,
19290119,33433680.80,,
19290121,33399288.50,,
19290122,33654423.40,,
19290123,33846402.20,,
19290124,33346212.90,,
19290125,34101339.50,,
19290126,33635745.40,,
19290128,33947055.50,,
19290129,34178575.40,,
19290130,34298305.80,,
19290131,34729364.20,,
19290201,34868089.90,,
19290202,34849703.20,,
19290204,34626474.40,,
19290205,33855452.80,,
19290206,33564188.20,,
19290207,32591698.50,,
19290208,32255080.50,,
19290211,32929899.40,,
19290213,32886381.20,,
19290214,32764758.10,,
19290215,32150576.90,,
19290216,31754142.50,,
19290218,32186202.10,,
19290219,32177213.60,,
19290220,32442035.60,,
19290221,32789256.00,,
19290225,32831985.20,,
19290226,32783738.50,,
19290227,33285393.60,,
19290228,33727242.90,,
19290301,34122601.10,,
19290302,34037818.10,,
19290304,33711704.40,,
19290305,33504687.50,,
19290306,32977453.20,,
19290307,33269334.20,,
19290308,33435050.40,,
19290309,33433114.20,,
19290311,32945188.90,,
19290312,33066768.60,,
19290313,33369486.50,,
19290314,33985710.80,,
19290315,34409729.40,,
19290316,34455958.60,,
19290318,34323438.40,,
19290319,34332046.00,,
19290320,34307572.00,,
19290321,34155103.00,,
19290322,33691223.40,,
19290323,33298385.30,,
19290325,32392505.20,,
19290326,32229669.00,,
19290327,33131049.00,,
19290328,33687237.10,,
19290401,32861356.20,,
19290402,33235872.40,,
19290403,32862864.40,,
19290404,33398803.80,,
19290405,33232890.60,,
19290406,33292142.10,,
19290408,32977365.50,,
19290409,32696941.20,,
19290410,32889590.30,,
19290411,33270016.50,,
19290412,33393586.40,,
19290413,33367899.40,,
19290415,33131781.00,,
19290416,33188080.40,,
19290417,33528760.90,,
19290418,33644834.80,,
19290419,33630017.90,,
19290420,33690307.90,,
19290422,33997089.40,,
19290423,34190779.60,,
19290424,34097569.90,,
19290425,33951442.10,,
19290426,33891026.20,,
19290427,34016401.40,,
19290429,33846634.20,,
19290430,34653311.40,,
19290501,34889407.60,,
19290502,34803469.80,,
19290503,35409823.80,,
19290504,35564317.50,,
19290506,35360151.00,,
19290507,35048490.50,,
19290508,34508731.10,,
19290509,34930234.80,,
19290510,35329302.90,,
19290511,35219325.20,,
19290513,34418750.80,,
19290514,34851964.10,,
19290515,34704237.90,,
19290516,34844898.40,,
19290517,35010131.40,,
19290518,34952794.60,,
19290520,34177125.90,,
19290521,34327912.50,,
19290522,33105494.80,,
19290523,33677415.90,,
19290524,33598303.50,,
19290525,33484880.90,,
19290527,32419501.00,,
19290528,32947220.10,,
19290529,33090980.80,,
19290531,33386954.90,,
19290601,33567488.40,,
19290603,33919176.80,,
19290604,34448557.00,,
19290605,34363814.20,,
19290606,34419745.50,,
19290607,34258312.60,,
19290608,34135164.50,,
19290610,33939554.00,,
19290611,34152940.30,,
19290612,34184695.20,,
19290613,34673328.80,,
19290614,34775392.90,,
19290615,34946231.10,,
19290617,35446151.40,,
19290618,35481898.80,,
19290619,35352758.10,,
19290620,35532075.90,,
19290621,35782139.50,,
19290622,35912220.30,,
19290624,35798202.80,,
19290625,36177323.20,,
19290626,36378646.60,,
19290627,36433023.80,,
19290628,36837597.80,,
19290629,37098108.70,,
19290701,37333651.40,,
19290702,37752187.60,,
19290703,37928291.00,,
19290705,38103155.60,,
19290706,38125771.80,,
19290708,38160759.90,,
19290709,38081004.20,,
19290710,37964400.10,,
19290711,37995785.10,,
19290712,38393751.80,,
19290713,38611308.00,,
19290715,38439852.50,,
19290716,38668712.00,,
19290717,38772099.60,,
19290718,38671117.80,,
19290719,38852291.60,,
19290720,38948877.20,,
19290722,38505272.50,,
19290723,38932902.00,,
19290724,38674047.80,,
19290725,38831961.40,,
19290726,38624509.60,,
19290727,38435334.30,,
19290729,37886274.20,,
19290730,38403571.80,,
19290731,38901636.60,,
19290801,40278959.60,,
19290802,40306429.20,,
19290803,40591252.40,,
19290805,40278708.50,,
19290806,40104207.90,,
19290807,39706820.00,,
19290808,40144589.10,,
19290809,38639495.40,,
19290810,39343544.80,,
19290812,39909178.80,,
19290813,40261705.80,,
19290814,40372027.80,,
19290815,40441738.50,,
19290816,41170220.00,,
19290817,41214693.10,,
19290819,41562933.10,,
19290820,41788516.10,,
19290821,41608530.60,,
19290822,41923730.10,,
19290823,42292368.50,,
19290824,42366806.20,,
19290826,42301656.50,,
19290827,42327794.60,,
19290828,42288213.80,,
19290829,42677692.50,,
19290830,43063051.80,,
19290903,43438613.40,,
19290904,43256548.60,,
19290905,42316318.40,,
19290906,43035023.00,,
19290907,43479732.20,,
19290909,43183836.10,,
19290910,42428014.40,,
19290911,42950878.00,,
19290912,42345838.10,,
19290913,42794962.50,,
19290914,42938229.70,,
19290916,43425900.40,,
19290917,43066290.20,,
19290918,43200017.00,,
19290919,43240324.50,,
19290920,42894360.90,,
19290921,42887190.60,,
19290923,42860367.10,,
19290924,42097541.60,,
19290925,42084946.60,,
19290926,42508921.40,,
19290927,41416280.10,,
19290928,41636797.50,,
19290930,41295181.50,,
19291001,41072522.40,,
19291002,41367493.40,,
19291003,39715947.80,,
19291004,39348556.80,,
19291005,41059083.60,,
19291007,41722792.20,,
19291008,41567707.10,,
19291009,41489184.20,,
19291010,42181370.10,,
19291011,42073021.50,,
19291014,41780625.50,,
19291015,41483210.20,,
19291016,40113655.00,,
19291017,40673245.50,,
19291018,39566985.40,,
19291019,38470505.80,,
19291021,38103101.10,,
19291022,38840598.10,,
19291023,36639121.50,,
19291024,35562708.60,,
19291025,36046134.10,,
19291026,35811470.10,,
19291028,31655188.60,,
19291029,28043254.00,,
19291030,31323509.40,,
19291031,33694827.50,,
19291104,32030228.10,,
19291106,28541507.60,,
19291107,29911659.50,,
19291108,29689063.00,,
19291111,27964174.40,,
19291112,26397237.10,,
19291113,24841856.60,,
19291114,27093713.60,,
19291115,28565884.20,,
19291118,28269898.60,,
19291119,29090542.80,,
19291120,29838282.60,,
19291121,30535109.90,,
19291122,30243451.10,,
19291125,29706255.50,,
19291126,29086368.90,,
19291127,29389144.80,,
